system,tier,ref,mult,func,converger,natom,charge,converged,niter,micro,fock_builds,time,E
t2_n2_stretch,2,uhf,1,b3lypv5,soscf,2,0,True,17,0,17,29.94,-109.0642922735
t2_f2_stretch,2,rhf,1,hf,ediis,2,0,True,49,0,49,6.1,-198.3181165082
t2_f2_stretch,2,rhf,1,hf,adiis,2,0,True,32,0,32,5.09,-198.3181165082
t2_f2_stretch,2,rhf,1,hf,soscf,2,0,True,11,0,11,5.09,-198.3181165082
t2_f2_stretch,2,rhf,1,hf,trah,2,0,True,3,19,22,5.11,-198.3181165082
t2_f2_stretch,2,rhf,1,b3lypv5,cdiis,2,0,True,11,0,11,11.57,-199.1568544058
t2_f2_stretch,2,rhf,1,b3lypv5,adiis,2,0,True,30,0,30,13.05,-199.1568544058
t2_f2_stretch,2,rhf,1,b3lypv5,ediis,2,0,True,54,0,54,15.73,-199.1568544058
t2_f2_stretch,2,rhf,1,b3lypv5,soscf,2,0,True,9,0,9,6.55,-199.1568544058
t2_f2_stretch,2,uhf,1,hf,cdiis,2,0,True,17,0,17,5.55,-198.5692431896
t2_f2_stretch,2,uhf,1,hf,ediis,2,0,True,48,0,48,6.42,-198.5692431896
t2_f2_stretch,2,rhf,1,b3lypv5,trah,2,0,True,3,17,20,10.49,-199.1568544058
t2_f2_stretch,2,uhf,1,hf,adiis,2,0,True,38,0,38,5.54,-198.5692431896
t2_f2_stretch,2,uhf,1,hf,soscf,2,0,True,17,0,17,5.2,-198.5692431896
t2_f2_stretch,2,uhf,1,hf,trah,2,0,True,6,56,62,5.15,-198.5692431896
t2_f2_stretch,2,uhf,1,b3lypv5,adiis,2,0,True,34,0,34,11.67,-199.1568544058
t2_f2_stretch,2,uhf,1,b3lypv5,soscf,2,0,True,9,0,9,8.18,-199.1568544058
t2_f2_stretch,2,uhf,1,b3lypv5,trah,2,0,True,7,61,68,28.7,-199.2224819534
t2_f2_stretch,2,uhf,1,b3lypv5,ediis,2,0,True,53,0,53,73.1,-199.2224819534
t3_cr2,3,uhf,1,hf,cdiis,2,0,True,18,0,18,26.83,-2085.5511113240
t3_cr2,3,uhf,1,hf,ediis,2,0,True,107,0,107,58.3,-2085.5511113240
t3_cr2,3,uhf,1,hf,adiis,2,0,True,53,0,53,111.49,-2086.2047839922
t3_cr2,3,uhf,1,hf,soscf,2,0,True,37,0,37,102.83,-2086.2047839922
t3_cr2,3,uhf,1,b3lypv5,cdiis,2,0,True,25,0,25,27.06,-2088.3608649454
